Bsic Attention Token,Chiliz,Holochain,Polygon,Raven Coin,Stellar Lumen,VeChain,Zilliqa
0.54031246,0.23848474,0.00590762,1.11203284,0.05406435,0.25864757,0.07783323,0.07199854
0.50948831,0.23137214,0.0056436,1.0754534,0.05060581,0.24930914,0.07384868,0.06994036
0.5224199,0.22634879,0.00557944,1.04616301,0.05027555,0.24259402,0.07238231,0.06973342
0.57127553,0.24963345,0.00609839,1.20314813,0.05545291,0.26776888,0.0805447,0.07866323
0.56399363,0.24025616,0.00589401,1.15858711,0.05349717,0.25717496,0.07576476,0.0747807
0.48339727,0.21910391,0.00544068,1.0743844,0.04910092,0.23463027,0.07147065,0.06853555
0.51177207,0.21520702,0.00598097,1.09905167,0.05122574,0.23666702,0.07371606,0.07237835
0.59905494,0.28818862,0.00742703,1.39899588,0.06630053,0.29763036,0.09871867,0.09590249
0.60187521,0.2853011,0.00704762,1.36369544,0.0664864,0.29079876,0.09708244,0.09349052
0.61202882,0.2887358,0.00719879,1.37726097,0.06716699,0.29765582,0.099464,0.09619229
0.6586397,0.3246046,0.00768552,1.5037943,0.07127803,0.31756078,0.10721979,0.10357793
0.65792099,0.337978,0.00775562,1.47719684,0.0712416,0.31737312,0.10748552,0.10394666
0.71344402,0.28815379,0.008252,1.69146008,0.07683073,0.34381443,0.11347641,0.11312544
0.65545485,0.28872854,0.00857857,1.47786265,0.07577096,0.34830177,0.11303601,0.11073153
0.64628349,0.28582235,0.00822653,1.46921655,0.07507101,0.34473023,0.11254363,0.10790244
0.618314,0.27405286,0.00736212,1.34126925,0.06947015,0.32829736,0.10602965,0.09875936
0.64764382,0.29588808,0.00751612,1.25196539,0.07096373,0.31866094,0.10487848,0.10231797
0.66492271,0.27736665,0.00784565,1.36220509,0.0713605,0.33921014,0.11185392,0.10834592
0.70135006,0.24175984,0.00823589,1.49242735,0.07609727,0.36429074,0.11998229,0.11511154
0.67240696,0.23377347,0.00798139,1.48509928,0.07041783,0.35056711,0.11346696,0.10870989
0.70033761,0.24017715,0.00778088,1.48012184,0.07109594,0.34623223,0.11442336,0.11008699
0.76223303,0.26687399,0.00858384,1.58342795,0.07907393,0.38125534,0.12862732,0.12385656
0.75095797,0.26096667,0.00835824,1.52733424,0.07646606,0.37537959,0.12523201,0.1204852
0.76174631,0.26979375,0.00856655,1.63148393,0.08052873,0.38503902,0.12929736,0.12649184
0.82982981,0.29449059,0.00925576,1.82384623,0.08809169,0.42534299,0.14269044,0.13945335
0.7978427,0.27740635,0.00875812,1.79589741,0.08595766,0.41901047,0.12583444,0.12346395
0.74746526,0.27242569,0.00853659,1.82116372,0.08076907,0.41770956,0.12071564,0.11803998
0.76665445,0.28226166,0.00900839,1.88102393,0.08431125,0.40340725,0.12615818,0.11580547
0.70488603,0.26981121,0.0086466,1.8649378,0.07863708,0.37568756,0.10757165,0.10535656
0.68358832,0.27082201,0.00817805,1.69819431,0.07614757,0.36715712,0.09899047,0.09937419
0.74782329,0.28749908,0.00840044,1.82329397,0.08128716,0.39879243,0.1082996,0.11093885
0.84255923,0.29882002,0.00951733,2.02674466,0.09447477,0.41859093,0.12329938,0.12062823
0.88735431,0.33585447,0.01074868,2.21016696,0.10141535,0.44467373,0.13310035,0.13369748
0.73762765,0.25786039,0.00926524,1.94005033,0.08686619,0.42881321,0.11236291,0.10743771
0.72486033,0.26275783,0.00763124,1.71757741,0.07995709,0.43970183,0.11198361,0.10903561
0.56263038,0.21548789,0.0060735,1.08671521,0.06638892,0.36780487,0.08693621,0.08751035
0.68262508,0.25234081,0.00706455,1.19329162,0.07827632,0.38995337,0.09952686,0.10471213
0.76035368,0.28001729,0.0076102,1.4823355,0.08473559,0.41935499,0.10865969,0.11391615
