Date,BTC ,LTC,ETC
1/1/2021,29374,126,730
2/1/2021,32127,137,775
3/1/2021,32782,160,976
4/1/2021,31972,155,1040
5/1/2021,33992,159,1100
6/1/2021,36824,169,1207
7/1/2021,39371,170,1226
8/1/2021,40798,173,1224
9/1/2021,40255,177,1281
10/1/2021,38356,171,1262
11/1/2021,35567,139,1090
12/1/2021,33923,133,1043
13-01-2021,37316,147,1131
14-01-2021,39187,152,1218
15-01-2021,36825,144,1172
16-01-2021,36178,144,1234
17-01-2021,35791,142,1230
18-01-2021,36630,152,1257
19-01-2021,36070,153,1377
20-01-2021,35548,150,1382
21-01-2021,30826,130,1122
22-01-2021,33006,137,1237
23-01-2021,32068,138,1231
24-01-2021,32289,141,1392
25-01-2021,32366,137,1324
26-01-2021,32570,135,1357
27-01-2021,30433,123,1253
28-01-2021,33466,133,1332
29-01-2021,34316,135,1383
30-01-2021,34270,133,1376
31-01-2021,33114,130,1315
1/2/2021,33537,132,1369
2/2/2021,35510,143,1515
3/2/2021,37472,156,1661
4/2/2021,36926,145,1595
5/2/2021,38144,155,1719
6/2/2021,39266,156,1678
7/2/2021,38903,151,1614
8/2/2021,46196,167,1747
9/2/2021,46481,182,1768
10/2/2021,44918,182,1744
11/2/2021,47909,184,1784
12/2/2021,47505,197,1844
13-02-2021,47106,226,1814
14-02-2021,48717,214,1805
15-02-2021,47945,208,1780
16-02-2021,49200,211,1781
17-02-2021,52149,237,1848
18-02-2021,51680,227,1937
19-02-2021,55888,237,1960
20-02-2021,56100,228,1920
21-02-2021,57540,227,1936
22-02-2021,54207,208,1782
23-02-2021,48824,177,1570
24-02-2021,49705,181,1627
25-02-2021,47094,179,1476
26-02-2021,46340,170,1446
27-02-2021,46188,172,1460
28-02-2021,45138,165,1416
1/3/2021,49631,175,1565
2/3/2021,48379,178,1493
3/3/2021,50538,189,1576
4/3/2021,48561,181,1542
5/3/2021,48927,181,1533
6/3/2021,48912,183,1655
7/3/2021,51207,191,1723
8/3/2021,52247,192,1835
9/3/2021,54824,204,1868
10/3/2021,56009,201,1799
11/3/2021,57805,201,1826
12/3/2021,57332,221,1772
13-03-2021,61243,227,1925
14-03-2021,59302,215,1855
15-03-2021,55907,201,1792
16-03-2021,56805,201,1807
17-03-2021,58871,206,1823
18-03-2021,57859,201,1783
19-03-2021,58347,201,1818
20-03-2021,58314,201,1813
21-03-2021,57523,196,1788
22-03-2021,54529,187,1691
23-03-2021,54739,187,1679
24-03-2021,52774,178,1593
25-03-2021,51704,173,1595
26-03-2021,55137,184,1703
27-03-2021,55974,185,1716
28-03-2021,55951,185,1691
29-03-2021,57750,194,1820
30-03-2021,58918,197,1846
31-03-2021,58919,197,1918
1/4/2021,59096,204,1977
2/4/2021,59384,213,2143
3/4/2021,57604,197,2028
4/4/2021,58759,204,2093
5/4/2021,59058,221,2108
6/4/2021,58192,238,2118
7/4/2021,56049,219,1971
8/4/2021,58324,227,2089
9/4/2021,58245,222,2072
10/4/2021,59793,256,2136
11/4/2021,60205,254,2158
12/4/2021,59893,244,2139
13-04-2021,63503,267,2299
14-04-2021,63110,280,2435
15-04-2021,63314,287,2519
16-04-2021,61573,311,2432
17-04-2021,60684,305,2345
18-04-2021,56216,273,2237
19-04-2021,55724,262,2166
20-04-2021,56473,261,2330
21-04-2021,53906,259,2365
22-04-2021,51762,253,2404
23-04-2021,51094,241,2364
24-04-2021,50051,225,2212
25-04-2021,49004,224,2316
26-04-2021,54022,247,2534
27-04-2021,55033,260,2663
28-04-2021,54825,259,2746
29-04-2021,53555,256,2757
30-04-2021,57750,271,2773
1/5/2021,57828,277,2946
2/5/2021,56631,269,2952
3/5/2021,57200,295,3431
4/5/2021,53334,306,3254
5/5/2021,57424,356,3523
6/5/2021,56397,354,3491
7/5/2021,57356,346,3485
8/5/2021,58804,346,3903
9/5/2021,58232,386,3929
10/5/2021,55860,359,3952
11/5/2021,56705,377,4169
12/5/2021,49151,303,3786
13-05-2021,49716,317,3715
14-05-2021,49881,326,4079
15-05-2021,46760,300,3638
16-05-2021,46456,297,3588
17-05-2021,43538,282,3282
18-05-2021,42909,295,3380
19-05-2021,37002,190,2461
20-05-2021,40783,212,2784
21-05-2021,37305,180,2431
22-05-2021,37537,170,2296
23-05-2021,34771,144,2110
24-05-2021,38706,184,2644
25-05-2021,38402,183,2707
26-05-2021,39294,199,2889
27-05-2021,38437,193,2736
28-05-2021,35698,177,2420
29-05-2021,34616,164,2280
30-05-2021,35678,171,2390
31-05-2021,37333,188,2715
1/6/2021,36685,183,2634
2/6/2021,37575,187,2706
3/6/2021,39209,193,2855
4/6/2021,36894,179,2688
5/6/2021,35552,173,2631
6/6/2021,35862,177,2715
7/6/2021,33561,162,2590
8/6/2021,33473,161,2517
9/6/2021,37345,172,2608
10/6/2021,36703,168,2472
11/6/2021,37334,163,2354
12/6/2021,35553,162,2372
13-06-2021,39098,171,2508
14-06-2021,40218,173,2538
15-06-2021,40406,179,2611
16-06-2021,38347,166,2368
17-06-2021,38054,167,2372
18-06-2021,35787,156,2232
19-06-2021,35616,153,2178
20-06-2021,35698,155,2246
21-06-2021,31677,125,1888
22-06-2021,32506,120,1875
23-06-2021,33723,129,1990
24-06-2021,34662,134,1988
25-06-2021,31638,126,1813
26-06-2021,32186,127,1829
27-06-2021,34650,132,1979
