Date,BTC,LTC,ETC
1/1/2021,28994,125,738
2/1/2021,29376,126,730
3/1/2021,32129,137,775
4/1/2021,32811,160,977
5/1/2021,31977,155,1041
6/1/2021,34014,159,1101
7/1/2021,36834,169,1208
8/1/2021,39382,170,1226
9/1/2021,40789,173,1224
10/1/2021,40254,177,1281
11/1/2021,38347,171,1262
12/1/2021,35516,139,1089
13-01-2021,33915,133,1044
14-01-2021,37325,147,1130
15-01-2021,39157,152,1222
16-01-2021,36822,144,1171
17-01-2021,36164,144,1233
18-01-2021,35792,142,1230
19-01-2021,36642,152,1257
20-01-2021,36050,153,1375
21-01-2021,35549,150,1383
22-01-2021,30818,130,1119
23-01-2021,32986,137,1235
24-01-2021,32064,138,1231
25-01-2021,32286,141,1391
26-01-2021,32359,137,1324
27-01-2021,32564,135,1358
28-01-2021,30441,123,1251
29-01-2021,34319,138,1369
30-01-2021,34296,135,1382
31-01-2021,34271,133,1377
1/2/2021,33115,130,1315
2/2/2021,33533,132,1370
3/2/2021,35511,142,1515
4/2/2021,37475,156,1661
5/2/2021,36932,145,1595
6/2/2021,38138,155,1718
7/2/2021,39250,156,1678
8/2/2021,38887,151,1614
9/2/2021,46185,167,1747
10/2/2021,46470,182,1768
11/2/2021,44899,182,1744
12/2/2021,47877,184,1783
13-02-2021,47491,197,1844
14-02-2021,47115,226,1814
15-02-2021,48697,214,1805
16-02-2021,47944,208,1779
17-02-2021,49207,211,1781
18-02-2021,52141,237,1848
19-02-2021,51676,227,1939
20-02-2021,55887,237,1960
21-02-2021,56069,228,1919
22-02-2021,57533,227,1936
23-02-2021,54205,208,1781
24-02-2021,48835,177,1571
25-02-2021,49709,181,1625
26-02-2021,47180,179,1479
27-02-2021,46345,170,1447
28-02-2021,46194,172,1460
1/3/2021,45160,165,1417
2/3/2021,49612,175,1564
3/3/2021,48416,178,1491
4/3/2021,50522,188,1575
5/3/2021,48527,181,1542
6/3/2021,48899,181,1532
7/3/2021,48919,183,1655
8/3/2021,51174,191,1724
9/3/2021,52273,192,1835
10/3/2021,54824,204,1868
11/3/2021,55963,200,1798
12/3/2021,57821,201,1827
13-03-2021,57343,221,1772
14-03-2021,61221,227,1924
15-03-2021,59267,215,1854
16-03-2021,55841,201,1792
17-03-2021,56826,201,1807
18-03-2021,58893,206,1823
19-03-2021,57850,200,1783
20-03-2021,58332,201,1818
21-03-2021,58310,201,1813
22-03-2021,57518,196,1788
23-03-2021,54512,187,1691
24-03-2021,54710,187,1678
25-03-2021,52727,178,1593
26-03-2021,51683,173,1595
27-03-2021,55138,184,1703
28-03-2021,55975,185,1716
29-03-2021,55948,185,1691
30-03-2021,57750,194,1819
31-03-2021,58930,197,1846
1/4/2021,58927,198,1919
2/4/2021,59099,204,1977
3/4/2021,59397,213,2143
4/4/2021,57605,197,2028
5/4/2021,58761,204,2093
6/4/2021,59172,222,2109
7/4/2021,58187,238,2118
8/4/2021,56100,220,1969
9/4/2021,58327,227,2089
10/4/2021,58254,222,2071
11/4/2021,59846,257,2136
12/4/2021,60176,253,2157
13-04-2021,59890,245,2139
14-04-2021,63524,267,2299
15-04-2021,63075,279,2436
16-04-2021,63259,286,2517
17-04-2021,61530,310,2430
18-04-2021,60702,305,2346
19-04-2021,56192,274,2238
20-04-2021,55682,261,2162
21-04-2021,56471,261,2331
22-04-2021,53857,258,2358
23-04-2021,51740,253,2401
24-04-2021,51143,241,2367
25-04-2021,50053,225,2214
26-04-2021,49078,224,2319
27-04-2021,54030,248,2534
28-04-2021,55037,260,2665
29-04-2021,54858,259,2749
30-04-2021,53569,255,2758
1/5/2021,57715,271,2773
2/5/2021,57826,277,2946
3/5/2021,56620,269,2951
4/5/2021,57214,295,3431
5/5/2021,53252,305,3241
6/5/2021,57441,356,3525
7/5/2021,56414,355,3490
8/5/2021,57353,345,3482
9/5/2021,58877,347,3911
10/5/2021,58251,388,3924
11/5/2021,55847,359,3948
12/5/2021,56715,378,4175
13-05-2021,49735,310,3829
14-05-2021,49683,318,3720
15-05-2021,49855,326,4076
16-05-2021,46717,300,3642
17-05-2021,46416,296,3581
18-05-2021,43488,281,3277
19-05-2021,42945,295,3383
20-05-2021,36754,187,2440
21-05-2021,40597,211,2772
22-05-2021,37371,181,2436
23-05-2021,37531,170,2298
24-05-2021,34700,143,2100
25-05-2021,38796,185,2649
26-05-2021,38393,184,2707
27-05-2021,39317,199,2889
28-05-2021,38507,194,2742
29-05-2021,35684,177,2414
30-05-2021,34607,164,2278
31-05-2021,35659,171,2387
1/6/2021,37294,188,2708
2/6/2021,36700,183,2634
3/6/2021,37599,187,2708
4/6/2021,39242,194,2857
5/6/2021,36880,179,2692
6/6/2021,35539,173,2630
7/6/2021,35835,177,2713
8/6/2021,33590,162,2595
9/6/2021,33417,161,2510
10/6/2021,37390,172,2611
11/6/2021,36697,168,2473
12/6/2021,37340,163,2355
13-06-2021,35556,162,2373
14-06-2021,39017,171,2509
15-06-2021,40427,179,2588
16-06-2021,40169,175,2545
17-06-2021,38341,167,2367
18-06-2021,38099,167,2375
19-06-2021,35855,157,2235
20-06-2021,35563,153,2171
21-06-2021,35641,155,2245
22-06-2021,31622,125,1887
23-06-2021,32516,120,1879
24-06-2021,33683,129,1969
25-06-2021,34659,135,1989
26-06-2021,31595,125,1811
27-06-2021,32288,127,1831
